Scopus-558-Analyze-Year

"Your query : (TITLE-ABS-KEY((robot* OR vehicle*) AND ((locali* AND map*) OR ""slam"") AND (""long term"" OR ""life long"" OR lifelong)))"


Number of results : 558

"YEAR",
"2022","52"
"2021","76"
"2020","55"
"2019","66"
"2018","45"
"2017","35"
"2016","39"
"2015","38"
"2014","22"
"2013","32"
"2012","12"
"2011","16"
"2010","13"
"2009","12"
"2008","7"
"2007","6"
"2006","5"
"2005","5"
"2004","9"
"2002","2"
"2001","2"
"2000","2"
"1998","3"
"1997","2"
"1989","1"
"1974","1"
